Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1066,Male,Yes,0,Graduate,No,5433,1374,150013.23520928857,,0.0,Urban,Y
LP1067,Female,No,3+,Graduate,No,8682,2395,150033.34115846435,360.0,1.0,Semiurban,Y
LP1068,Male,Yes,0,Graduate,nan,4043,2494,149920.25057429716,240.0,1.0,Rural,Y
LP1069,nan,Yes,nan,Graduate,nan,4203,2260,150014.9622627939,360.0,1.0,Urban,Y
LP1070,Female,No,0,Graduate,No,4065,1449,150049.10675969895,120.0,1.0,Urban,Y
LP1071,Male,No,nan,Not Graduate,No,4166,1328,149951.61435925236,240.0,1.0,Rural,Y
LP1072,Male,No,0,Graduate,No,4043,1974,150066.9028954735,240.0,1.0,Rural,N
LP1073,Female,nan,3+,Graduate,No,6783,3172,150016.76076037463,180.0,1.0,Urban,Y
LP1074,Female,Yes,1,Graduate,Yes,7130,2543,149971.79952576966,360.0,0.0,Semiurban,Y
LP1075,Female,Yes,nan,Not Graduate,No,4143,0,149997.76923689368,360.0,1.0,Semiurban,Y
LP1076,Female,No,0,Graduate,No,3751,2771,150022.33307650086,,1.0,Semiurban,Y
LP1077,Male,Yes,1,Graduate,No,5707,-848,150003.0402156565,,1.0,Urban,Y
LP1078,Male,No,nan,Not Graduate,Yes,4171,3148,150021.55023969786,360.0,1.0,Rural,Y
LP1079,Male,No,1,Not Graduate,No,5949,260,149963.17305627684,360.0,1.0,Urban,Y
LP1080,Female,No,2,Not Graduate,No,5304,1637,150006.77443296145,360.0,1.0,Rural,Y
LP1081,Female,Yes,2,Graduate,No,2726,880,149943.4514201238,240.0,1.0,Semiurban,Y
LP1082,Male,Yes,1,Graduate,Yes,7321,705,149995.55095754605,120.0,1.0,Semiurban,Y
LP1083,Male,Yes,2,Graduate,No,7693,3160,149963.8436943414,360.0,1.0,Rural,Y
LP1084,Male,Yes,1,Not Graduate,No,4080,1532,149970.5788022964,360.0,1.0,Rural,Y
LP1085,Male,Yes,nan,Graduate,No,4418,2346,150049.44372700842,120.0,0.0,Urban,Y
LP1086,Female,Yes,0,Graduate,No,5428,1953,150043.65240482378,240.0,0.0,Semiurban,N
LP1087,Female,Yes,0,Graduate,No,5501,2477,150024.3655248363,360.0,0.0,Urban,Y
LP1088,Female,Yes,nan,Not Graduate,Yes,5987,2076,149956.3074894131,360.0,1.0,Urban,Y
LP1089,Female,Yes,3+,Graduate,No,8015,717,149987.3436620122,360.0,1.0,Urban,Y
LP1090,Male,Yes,1,Graduate,No,4734,0,,360.0,,Semiurban,Y
LP1091,Female,Yes,2,Graduate,nan,3802,1506,150005.6686765456,360.0,1.0,Urban,Y
LP1092,Female,No,0,Graduate,nan,2931,443,150092.77318159927,180.0,1.0,Urban,Y
LP1093,Female,Yes,0,Graduate,No,3903,1571,150015.73271357577,120.0,1.0,Urban,N
LP1094,Female,Yes,1,Graduate,No,4950,3500,150007.6819646596,180.0,1.0,Urban,Y
LP1095,Female,Yes,0,Graduate,No,7691,2850,149987.6353414319,240.0,,Urban,Y
LP1096,Female,No,1,Graduate,No,4223,1651,150005.3416361913,360.0,1.0,Urban,Y
LP1097,Male,Yes,0,Graduate,nan,5335,1650,149993.90120654478,360.0,1.0,Semiurban,Y
LP1098,Male,Yes,nan,Graduate,Yes,4975,1678,150028.32434706754,360.0,1.0,Urban,Y
LP1099,Male,Yes,nan,Graduate,Yes,6782,4076,150038.2680926718,360.0,1.0,Rural,Y
LP1100,Male,Yes,2,Graduate,No,5165,2381,300065.0,240.0,0.0,Urban,N
LP1101,Female,Yes,1,Graduate,Yes,4203,2430,149946.7506818577,,1.0,Urban,Y
LP1102,Male,Yes,0,Graduate,No,4265,3030,149926.55178507586,360.0,1.0,Semiurban,Y
LP1103,Female,Yes,3+,Graduate,No,6566,2238,150020.3196530765,360.0,,Semiurban,N
LP1104,nan,No,2,Graduate,No,6022,1740,149955.86533575304,120.0,1.0,Rural,Y
LP1105,Male,nan,0,Not Graduate,nan,7770,0,149913.8843762819,360.0,1.0,Rural,N
LP1106,Male,Yes,nan,Graduate,nan,5875,1928,150015.54314418123,360.0,1.0,Semiurban,Y
LP1107,Female,Yes,3+,Not Graduate,No,4461,1962,150099.71998069732,240.0,1.0,Semiurban,N
LP1108,Male,No,nan,Graduate,No,5885,2727,149999.7571635384,180.0,1.0,Urban,Y
LP1109,Male,Yes,2,Graduate,No,6663,2051,150033.53963097808,360.0,1.0,Semiurban,N
LP1110,Male,Yes,2,Not Graduate,No,6230,2732,150003.2731743419,360.0,1.0,Rural,N
LP1111,Male,Yes,1,Graduate,No,5760,1919,149996.04441387235,240.0,1.0,Urban,Y
LP1112,nan,Yes,nan,Graduate,No,6600,2078,150036.76305931952,360.0,,Rural,N
LP1113,Female,nan,3+,Graduate,No,6753,1,149988.38901823244,360.0,1.0,Urban,Y
LP1114,Female,No,0,Graduate,No,7073,2916,150010.69569256288,240.0,1.0,Semiurban,Y
LP1115,Female,Yes,0,Not Graduate,No,5973,2346,150012.86791224784,360.0,1.0,Rural,Y
LP1116,Female,Yes,0,Not Graduate,No,4749,2998,149973.2763818543,240.0,1.0,Urban,Y
LP1117,Male,Yes,3+,Not Graduate,nan,5220,-896,150039.68169398146,360.0,1.0,Urban,Y
LP1118,Female,Yes,nan,Graduate,No,6809,4088,149993.0016097322,,0.0,Semiurban,Y
LP1119,Female,Yes,0,Not Graduate,No,3774,1860,149969.7701936203,360.0,,Semiurban,Y
LP1120,Female,Yes,1,Not Graduate,nan,5553,0,,360.0,1.0,Semiurban,N
LP1121,Female,No,0,Graduate,No,4409,960,149964.06128072835,360.0,,Rural,N
LP1122,Male,Yes,nan,Graduate,nan,5043,2612,150001.12724629475,360.0,1.0,Urban,Y
LP1123,Male,Yes,3+,Not Graduate,No,6917,946,149999.63524013423,120.0,1.0,Semiurban,Y
LP1124,Male,nan,3+,Graduate,No,5286,1376,150043.43582263327,,1.0,Rural,Y
LP1125,Male,No,1,Not Graduate,Yes,5069,3914,150018.9879293152,360.0,0.0,Rural,Y
LP1126,Female,Yes,1,Graduate,No,2960,1809,149998.9989216502,360.0,1.0,Rural,Y
LP1127,Female,Yes,0,Not Graduate,No,6119,2217,150032.71065196802,240.0,1.0,Semiurban,Y
LP1128,Male,Yes,0,Graduate,No,5968,2870,150055.6083019607,120.0,1.0,Semiurban,Y
LP1129,Female,Yes,3+,Graduate,No,8244,2495,150022.31241225408,360.0,1.0,Urban,N
LP1130,Male,Yes,3+,Graduate,No,4538,2150,150000.41410479374,360.0,1.0,Urban,Y
LP1131,Male,No,nan,Not Graduate,nan,5328,2364,149947.52655070598,360.0,0.0,Semiurban,Y
LP1132,Male,Yes,nan,Graduate,nan,5374,4403,149957.395453477,180.0,0.0,Rural,Y
LP1133,Male,Yes,1,Graduate,No,7366,1942,149987.79101182582,360.0,1.0,Rural,Y
LP1134,nan,Yes,2,Graduate,No,4857,2201,149975.61951191362,180.0,,Rural,Y
LP1135,Male,Yes,nan,Not Graduate,No,5418,0,149992.5211478806,360.0,1.0,Urban,Y
LP1136,Female,No,3+,Graduate,Yes,5911,3105,150002.26599699588,240.0,,Rural,Y
LP1137,Female,No,0,Not Graduate,nan,5279,3187,150021.18771017427,360.0,1.0,Urban,Y
LP1138,Male,Yes,1,Graduate,No,4330,2638,149997.18004887764,360.0,1.0,Urban,N
LP1139,nan,Yes,0,Graduate,No,5291,856,150019.46006575305,360.0,1.0,Rural,N
LP1140,nan,Yes,nan,Graduate,No,6610,3633,150002.5789765924,180.0,0.0,Rural,Y
LP1141,Male,Yes,2,Graduate,No,3460,853,149920.98133734585,360.0,1.0,Semiurban,Y
LP1142,Female,Yes,0,Not Graduate,No,5199,2302,149962.42658424724,360.0,1.0,Semiurban,Y
LP1143,Male,Yes,2,Graduate,nan,3949,1245,149994.23649777114,360.0,1.0,Rural,Y
LP1144,Male,Yes,2,Graduate,No,6792,1935,149951.61221028634,360.0,1.0,Urban,Y
LP1145,Male,Yes,0,Not Graduate,Yes,2715,2328,150023.99714919986,180.0,1.0,Urban,Y
LP1146,Female,Yes,0,Graduate,No,4161,2321,150061.23003329374,180.0,1.0,Urban,Y
LP1147,Female,Yes,2,Graduate,nan,5565,2421,150048.7504740679,120.0,0.0,Urban,Y
LP1148,Male,Yes,1,Not Graduate,nan,7348,3613,149991.4622851628,360.0,1.0,Urban,Y
LP1149,Male,Yes,2,Graduate,No,4901,2453,150059.629045474,120.0,1.0,Semiurban,N
LP1150,nan,Yes,1,Graduate,No,9761,0,300078.0,360.0,1.0,Rural,N
LP1151,Male,No,3+,Not Graduate,No,7821,2964,149986.51656115527,360.0,0.0,Semiurban,Y
LP1152,Male,Yes,1,Graduate,No,2827,3189,149975.46389345836,360.0,0.0,Urban,Y
LP1153,Female,Yes,1,Graduate,nan,1701,772,149987.90121254048,360.0,1.0,Urban,N
LP1154,nan,Yes,3+,Graduate,No,5660,2597,149984.47292725835,240.0,1.0,Urban,Y
LP1155,Male,Yes,1,Not Graduate,No,4246,2701,150006.816648895,240.0,1.0,Urban,N
LP1156,Female,Yes,0,Graduate,No,3468,1702,150006.422959242,240.0,1.0,Rural,Y
LP1157,Female,Yes,0,Graduate,Yes,6062,3375,150000.12184080612,360.0,0.0,Urban,N
LP1158,Male,nan,2,Not Graduate,No,5365,1849,150017.47752678985,360.0,1.0,Rural,Y
LP1159,Female,Yes,2,Not Graduate,No,4153,2125,150047.62585099146,360.0,1.0,Urban,N
LP1160,Male,Yes,2,Graduate,Yes,3079,1826,150037.98216541766,360.0,1.0,Rural,N
LP1161,Female,Yes,0,Graduate,No,6308,2015,149940.604081262,360.0,0.0,Semiurban,Y
LP1162,Female,Yes,0,Graduate,No,5975,903,149897.84315460394,360.0,1.0,Urban,Y
LP1163,Female,Yes,0,Not Graduate,No,4851,559,150037.37279644958,360.0,1.0,Rural,N
LP1164,Male,nan,0,Graduate,No,7769,3594,149945.32485206338,360.0,1.0,Semiurban,Y
LP1165,Female,Yes,1,Graduate,No,3394,0,149991.0093839243,240.0,0.0,Urban,N
LP1166,Male,nan,0,Not Graduate,No,2711,1008,149953.1954789576,,1.0,Urban,Y
LP1167,Male,nan,1,Not Graduate,No,3962,-153,149927.9207824968,,1.0,Urban,Y
LP1168,Male,Yes,nan,Graduate,No,4931,1361,150021.6585091282,180.0,1.0,Rural,Y
LP1169,Female,Yes,0,Not Graduate,No,5365,676,150030.36620641212,360.0,1.0,Rural,Y
LP1170,Female,Yes,1,Graduate,No,4638,3642,149976.93958397093,180.0,1.0,Semiurban,N
LP1171,Male,Yes,2,Not Graduate,nan,5528,3009,149896.3583083142,240.0,1.0,Rural,Y
LP1172,Female,Yes,0,Graduate,No,3122,1311,149978.1502220699,360.0,1.0,Rural,Y
LP1173,Male,Yes,2,Graduate,No,7165,4252,150015.6721602161,360.0,1.0,Urban,Y
LP1174,Female,Yes,3+,Not Graduate,Yes,4876,2981,149940.84353724902,120.0,1.0,Urban,Y
LP1175,Male,Yes,nan,Graduate,No,6675,1675,150007.33439679118,360.0,0.0,Urban,N
LP1176,Female,No,0,Graduate,No,5514,-499,149999.38760603307,360.0,1.0,Urban,N
LP1177,Male,Yes,nan,Not Graduate,Yes,5685,4290,150023.17165998404,360.0,,Urban,Y
LP1178,nan,No,1,Not Graduate,No,5854,610,150004.78321473656,360.0,1.0,Urban,N
LP1179,Male,Yes,0,Graduate,No,5671,354,149961.07724236473,360.0,1.0,Urban,N
LP1180,Male,Yes,1,Graduate,No,5964,0,,360.0,1.0,Semiurban,Y
LP1181,Male,Yes,nan,Graduate,No,6993,4439,149993.65881707892,360.0,1.0,Semiurban,N
LP1182,nan,Yes,1,Graduate,No,5294,3384,149998.9078184196,360.0,1.0,Semiurban,Y
LP1183,Female,No,0,Graduate,Yes,6063,2563,149962.66928163706,120.0,1.0,Semiurban,Y
LP1184,Male,No,2,Graduate,No,4865,2594,149982.26870995233,360.0,1.0,Urban,N
LP1185,Female,No,0,Not Graduate,No,7160,2853,149964.60789143894,360.0,0.0,Semiurban,Y
LP1186,Female,Yes,0,Graduate,No,3985,2758,149993.08215760306,360.0,1.0,Urban,N
LP1187,Female,Yes,0,Graduate,No,7701,2281,150068.4683392057,,0.0,Semiurban,N
LP1188,Female,No,0,Graduate,No,4939,2104,149945.12395428275,360.0,1.0,Rural,Y
LP1189,Male,No,0,Not Graduate,nan,2853,1937,149935.45754408493,360.0,1.0,Semiurban,N
LP1190,Male,nan,0,Graduate,No,5192,1246,150058.84681309975,120.0,1.0,Semiurban,Y
LP1191,Female,Yes,2,Graduate,No,3978,1719,149991.62705291391,120.0,1.0,Urban,Y
LP1192,nan,Yes,0,Graduate,No,6260,307,149973.2370904536,360.0,1.0,Semiurban,Y
LP1193,Female,No,0,Graduate,No,4021,1901,150041.59618749583,120.0,1.0,Rural,N
LP1194,Male,Yes,3+,Graduate,No,4330,1011,149975.77537841053,360.0,1.0,Urban,Y
LP1195,Male,nan,1,Not Graduate,Yes,2165,0,150073.04038854188,360.0,1.0,Urban,Y
LP1196,Female,No,2,Not Graduate,nan,4321,2179,150027.11703485358,360.0,1.0,Semiurban,Y
LP1197,Female,Yes,0,Graduate,No,1364,3392,149980.48354367417,360.0,,Urban,Y
LP1198,Female,No,0,Graduate,nan,2624,2918,150086.29232853063,240.0,0.0,Urban,Y
LP1199,Female,No,0,Not Graduate,No,6140,429,149975.77140307985,360.0,1.0,Urban,Y
